u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,access,width,tunnel,service,bridge,junction,est_width,NO2_ugm3,NO_ugm3,CO2_mgm3,CO_mgm3,O3_ugm3,PM25_ugm3
389607,14955953,0,361409608,True,2,Arran Quay,secondary,50,False,124.257,R148,"LINESTRING (-6.2774435 53.3460737, -6.2765851 53.3459106, -6.2764156 53.3458877, -6.2758012 53.3458195, -6.2756299 53.3458083)",,7.8,,,,,,39.116,25.787,857.5467142857144,0.45442857142857135,38.907714285714285,6.937714285714286
389620,3594373498,0,917411677,False,4,Thomas Street,secondary,50,False,18.577,R810,"LINESTRING (-6.284856 53.3434801, -6.2845799 53.3434529)",,,,,,,,28.408445714285712,22.235794285714285,826.5072057142858,0.3847314285714286,40.48117142857143,9.340514285714285
389620,9984256997,0,52881219,False,3,James's Street,secondary,50,True,63.149,R810,"LINESTRING (-6.284856 53.3434801, -6.285423 53.3435233, -6.2858 53.34355)",,,,,,,,34.1884,26.5842,828.3538000000002,0.40040000000000003,35.351,10.12
389629,117707328,0,3789576,True,2,Wolfe Tone Quay,secondary,50,False,36.622,R148,"LINESTRING (-6.2904809 53.3474581, -6.2899687 53.3473357)",,,,,,,,39.89,77.946,835.31,0.406,34.244,6.657
389632,26914227,0,52881502,False,2,Military Road,tertiary,50,False,8.406,,"LINESTRING (-6.2961658 53.3457913, -6.2961803 53.3458664)",,,,,,,,50.753,151.218,863.83,0.411,32.025,9.41
389632,1062483018,0,33925610,False,2,Military Road,tertiary,30,True,56.071,,"LINESTRING (-6.2961658 53.3457913, -6.2961571 53.345689, -6.2962176 53.3452888)",,,,,,,,23.3785,10.47867857142857,811.8503333333333,0.3656666666666666,40.31,8.557833333333333
389632,9802652708,0,33925612,True,3,Saint John's Road West,secondary,60,False,200.259,R148,"LINESTRING (-6.2961658 53.3457913, -6.2982185 53.3456003, -6.2988274 53.3455192, -6.299132 53.3454703)",,,,,,,,41.0624,31.803800000000003,871.2678,0.4372,33.34140000000001,8.8224
389635,2372740891,0,33925610,False,2,Military Road,tertiary,30,False,25.323,,"LINESTRING (-6.2972151 53.3434165, -6.2972293 53.3434459, -6.2972132 53.3434708, -6.2970773 53.3436207)",,,,,,,,23.3785,10.47867857142857,811.8503333333333,0.3656666666666666,40.31,8.557833333333333
389635,366987125,0,33925611,False,2,Irwin Street,tertiary,30,True,16.047,,"LINESTRING (-6.2972151 53.3434165, -6.2971808 53.3433685, -6.2971209 53.3432836)",,,,,,,,12.8895,10.896714285714284,802.1034999999998,0.3445,42.643,7.3425
389635,2024552455,0,"[128191912, 128191913]",False,,,service,15,False,113.854,,"LINESTRING (-6.2972151 53.3434165, -6.2973335 53.3433505, -6.2974153 53.3433287, -6.2976776 53.3432449, -6.2980701 53.3431707, -6.2988014 53.3430604)",,,,,,,,18.40332777777778,11.044308333333333,808.5488555555556,0.3586777777777777,42.499455555555556,7.9517500000000005
389643,9800236714,0,1067394354,False,4,Conyngham Road,secondary,50,False,26.836,R109,"LINESTRING (-6.2967409 53.3481904, -6.2963368 53.348183)",,,,,,,,33.10183333333333,27.032666666666664,834.9461666666666,0.42999999999999994,40.229,6.612
