u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,access,width,tunnel,service,bridge,junction,est_width
4345120967,4345120968,0,461653745,False,,,service,,False,6.351,,"LINESTRING (-6.2723585 53.3499394, -6.2724534 53.3499321)",,,,,,,
4345120968,665668865,0,135582840,False,,Anne Street North,residential,30,True,26.589,,"LINESTRING (-6.2724534 53.3499321, -6.2724482 53.349693)",,,,,,,
4345120968,4345120967,0,461653745,False,,,service,,True,6.351,,"LINESTRING (-6.2724534 53.3499321, -6.2723585 53.3499394)",,,,,,,
4345120968,411503277,0,135582840,False,,Anne Street North,residential,30,False,34.762,,"LINESTRING (-6.2724534 53.3499321, -6.2724535 53.3499933, -6.2724537 53.350103, -6.2724551 53.3501493, -6.272458 53.3502447)",,,,,,,
4345628640,2414457219,0,48524954,False,,Fitzwilliam Lane,service,30,False,23.669,,"LINESTRING (-6.250037 53.3379667, -6.2503423 53.3380766)",,,,alley,,,
4345628640,4715529989,0,48524954,False,,Fitzwilliam Lane,service,30,True,47.965,,"LINESTRING (-6.250037 53.3379667, -6.2494182 53.3377441)",,,,alley,,,
4345628640,4345628642,0,436684009,False,,,service,,False,2.512,,"LINESTRING (-6.250037 53.3379667, -6.2500243 53.337981, -6.2500191 53.3379866)",,,,,,,
4345628642,4345628640,0,436684009,False,,,service,,True,2.512,,"LINESTRING (-6.2500191 53.3379866, -6.2500243 53.337981, -6.250037 53.3379667)",,,,,,,
4345628646,2414457219,0,436684008,False,,,service,,True,2.178,,"LINESTRING (-6.2503266 53.3380938, -6.2503326 53.3380873, -6.2503423 53.3380766)",,,,,,,
4346458362,4346458364,0,436773470,False,,,service,,False,26.022,,"LINESTRING (-6.2760523 53.3404413, -6.2760069 53.3403257, -6.2759789 53.3402542, -6.2759119 53.3402665)",,,,,,,
4346458364,666094765,0,52375067,True,,Hanover Street West,residential,30,False,21.54,,"LINESTRING (-6.2759119 53.3402665, -6.2758598 53.3400753)",,,,,,,
4346458364,4346458362,0,436773470,False,,,service,,True,26.022,,"LINESTRING (-6.2759119 53.3402665, -6.2759789 53.3402542, -6.2760069 53.3403257, -6.2760523 53.3404413)",,,,,,,
